Numer X Y H 
@10253 5593356.069 6576072.239 0.010 
@10254 5593356.119 6576072.239 0.010 
@10255 5593356.169 6576072.239 0.010 
@10256 5593356.219 6576072.239 0.010 
@10257 5593356.269 6576072.239 0.010 
@10258 5593356.319 6576072.239 0.010 
@10259 5593356.369 6576072.239 0.010 
@1026 5593347.269 6576073.389 0.002 
@10260 5593356.419 6576072.239 0.010 
@10261 5593356.469 6576072.239 0.010 
@10262 5593356.519 6576072.239 0.011 
@10263 5593356.569 6576072.239 0.011 
@10264 5593356.619 6576072.239 0.011 
@10265 5593356.669 6576072.239 0.011 
@10266 5593356.719 6576072.239 0.012 
@10267 5593356.769 6576072.239 0.012 
@10268 5593356.819 6576072.239 0.013 
@10269 5593356.869 6576072.239 0.013 
@1027 5593347.269 6576073.439 0.002 
@10270 5593356.919 6576072.239 0.013 
@10271 5593356.969 6576072.239 0.012 
@10272 5593357.019 6576072.239 0.012 
@10273 5593357.069 6576072.239 0.012 
@10274 5593346.669 6576072.339 -0.002 
@10275 5593346.719 6576072.339 -0.002 
@10276 5593346.769 6576072.339 -0.001 
@10277 5593346.819 6576072.339 -0.002 
@10278 5593346.869 6576072.339 -0.002 
@10279 5593346.919 6576072.339 -0.002 
@1028 5593347.269 6576073.489 0.002 
@10280 5593346.969 6576072.339 -0.002 
@10281 5593347.019 6576072.339 -0.003 
@10282 5593347.069 6576072.339 -0.003 
@10283 5593347.119 6576072.339 -0.003 
@10284 5593347.169 6576072.339 -0.003 
@10285 5593347.219 6576072.339 -0.003 
@10286 5593347.269 6576072.339 -0.004 
@10287 5593347.319 6576072.339 -0.004 
@10288 5593347.369 6576072.339 -0.005 
@10289 5593347.419 6576072.339 -0.003 
@1029 5593347.269 6576073.539 0.003 
@10290 5593347.469 6576072.339 -0.001 
@10291 5593347.519 6576072.339 -0.003 
@10292 5593347.569 6576072.339 -0.004 
@10293 5593347.619 6576072.339 -0.004 
@10294 5593347.669 6576072.339 -0.004 
@10295 5593347.719 6576072.339 -0.003 
@10296 5593347.769 6576072.339 -0.002 
@10297 5593347.819 6576072.339 -0.002 
@10298 5593347.869 6576072.339 -0.002 
@10299 5593347.919 6576072.339 -0.002 
@1030 5593347.269 6576073.589 0.003 
@10300 5593347.969 6576072.339 -0.002 
@10301 5593348.019 6576072.339 -0.002 
